attack_id,attacktype1,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt
77,6,Hostage Taking (Kidnapping),4,Military,13,Unknown,,Unknown
78,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,31.0,Pipe Bomb
79,3,Bombing/Explosion,3,Police,6,Explosives,17.0,Other Explosive Type
80,4,Hijacking,6,Airports & Aircraft,6,Explosives,16.0,Unknown Explosive Type
81,3,Bombing/Explosion,8,Educational Institution,6,Explosives,14.0,Time Fuse
82,2,Armed Assault,1,Business,5,Firearms,5.0,Unknown Gun Type
83,2,Armed Assault,4,Military,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
84,3,Bombing/Explosion,12,NGO,6,Explosives,17.0,Other Explosive Type
85,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,17.0,Other Explosive Type
86,2,Armed Assault,3,Police,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
87,3,Bombing/Explosion,16,Telecommunication,6,Explosives,14.0,Time Fuse
88,3,Bombing/Explosion,3,Police,6,Explosives,14.0,Time Fuse
89,2,Armed Assault,3,Police,5,Firearms,3.0,Handgun
90,3,Bombing/Explosion,4,Military,6,Explosives,31.0,Pipe Bomb
91,1,Assassination,7,Government (Diplomatic),5,Firearms,3.0,Handgun
92,3,Bombing/Explosion,9,Food or Water Supply,6,Explosives,28.0,Dynamite/TNT
93,7,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary,20.0,Gasoline or Alcohol
94,7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary,,Unknown
95,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,8,Incendiary,18.0,Arson/Fire
96,3,Bombing/Explosion,8,Educational Institution,6,Explosives,17.0,Other Explosive Type
97,3,Bombing/Explosion,1,Business,6,Explosives,17.0,Other Explosive Type
98,1,Assassination,7,Government (Diplomatic),5,Firearms,2.0,Automatic or Semi-Automatic Rifle
99,7,Facility/Infrastructure Attack,1,Business,8,Incendiary,,Unknown
100,3,Bombing/Explosion,12,NGO,6,Explosives,16.0,Unknown Explosive Type
101,3,Bombing/Explosion,16,Telecommunication,6,Explosives,28.0,Dynamite/TNT
102,1,Assassination,4,Military,5,Firearms,3.0,Handgun
103,2,Armed Assault,1,Business,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
104,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,16.0,Unknown Explosive Type
105,8,Unarmed Assault,17,Terrorists/Non-State Militia,9,Melee,21.0,Blunt Object
106,3,Bombing/Explosion,2,Government (General),6,Explosives,31.0,Pipe Bomb
107,3,Bombing/Explosion,2,Government (General),6,Explosives,15.0,Vehicle
108,2,Armed Assault,4,Military,5,Firearms,3.0,Handgun
109,7,Facility/Infrastructure Attack,4,Military,11,Sabotage Equipment,,Unknown
110,1,Assassination,2,Government (General),5,Firearms,2.0,Automatic or Semi-Automatic Rifle
111,1,Assassination,14,Private Citizens & Property,6,Explosives,15.0,Vehicle
112,2,Armed Assault,2,Government (General),5,Firearms,2.0,Automatic or Semi-Automatic Rifle
113,7,Facility/Infrastructure Attack,1,Business,2,Chemical,,Unknown
114,5,Hostage Taking (Barricade Incident),1,Business,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
115,1,Assassination,14,Private Citizens & Property,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
116,1,Assassination,4,Military,13,Unknown,,Unknown
117,9,Unknown,7,Government (Diplomatic),13,Unknown,,Unknown
118,7,Facility/Infrastructure Attack,13,Other,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
119,2,Armed Assault,17,Terrorists/Non-State Militia,8,Incendiary,,Unknown
120,2,Armed Assault,14,Private Citizens & Property,5,Firearms,5.0,Unknown Gun Type
121,2,Armed Assault,15,Religious Figures/Institutions,5,Firearms,5.0,Unknown Gun Type
122,4,Hijacking,6,Airports & Aircraft,13,Unknown,,Unknown
123,1,Assassination,14,Private Citizens & Property,5,Firearms,3.0,Handgun
124,7,Facility/Infrastructure Attack,10,Journalists & Media,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
125,2,Armed Assault,14,Private Citizens & Property,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
126,7,Facility/Infrastructure Attack,12,NGO,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
127,3,Bombing/Explosion,1,Business,6,Explosives,15.0,Vehicle
128,4,Hijacking,6,Airports & Aircraft,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
129,3,Bombing/Explosion,21,Utilities,6,Explosives,31.0,Pipe Bomb
130,3,Bombing/Explosion,2,Government (General),6,Explosives,17.0,Other Explosive Type
131,1,Assassination,1,Business,6,Explosives,15.0,Vehicle
132,3,Bombing/Explosion,16,Telecommunication,6,Explosives,16.0,Unknown Explosive Type
133,3,Bombing/Explosion,10,Journalists & Media,6,Explosives,16.0,Unknown Explosive Type
134,2,Armed Assault,14,Private Citizens & Property,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
135,2,Armed Assault,7,Government (Diplomatic),5,Firearms,2.0,Automatic or Semi-Automatic Rifle
136,3,Bombing/Explosion,3,Police,6,Explosives,29.0,Sticky Bomb
137,6,Hostage Taking (Kidnapping),2,Government (General),5,Firearms,4.0,Rifle/Shotgun (non-automatic)
138,5,Hostage Taking (Barricade Incident),16,Telecommunication,5,Firearms,3.0,Handgun
139,3,Bombing/Explosion,4,Military,6,Explosives,15.0,Vehicle
140,2,Armed Assault,1,Business,5,Firearms,3.0,Handgun
141,1,Assassination,2,Government (General),6,Explosives,16.0,Unknown Explosive Type
142,3,Bombing/Explosion,17,Terrorists/Non-State Militia,6,Explosives,16.0,Unknown Explosive Type
143,3,Bombing/Explosion,3,Police,6,Explosives,7.0,Grenade
144,4,Hijacking,6,Airports & Aircraft,6,Explosives,7.0,Grenade
145,4,Hijacking,6,Airports & Aircraft,5,Firearms,3.0,Handgun
146,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,31.0,Pipe Bomb
147,6,Hostage Taking (Kidnapping),3,Police,13,Unknown,,Unknown
148,7,Facility/Infrastructure Attack,9,Food or Water Supply,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
149,2,Armed Assault,4,Military,8,Incendiary,,Unknown
150,3,Bombing/Explosion,17,Terrorists/Non-State Militia,6,Explosives,31.0,Pipe Bomb
151,6,Hostage Taking (Kidnapping),2,Government (General),5,Firearms,5.0,Unknown Gun Type
152,7,Facility/Infrastructure Attack,10,Journalists & Media,8,Incendiary,,Unknown
153,7,Facility/Infrastructure Attack,6,Airports & Aircraft,8,Incendiary,,Unknown
154,8,Unarmed Assault,8,Educational Institution,2,Chemical,,Unknown
155,3,Bombing/Explosion,20,Unknown,6,Explosives,17.0,Other Explosive Type
156,1,Assassination,7,Government (Diplomatic),10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,Unknown
157,8,Unarmed Assault,3,Police,9,Melee,21.0,Blunt Object
158,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,28.0,Dynamite/TNT
159,3,Bombing/Explosion,20,Unknown,6,Explosives,14.0,Time Fuse
160,3,Bombing/Explosion,18,Tourists,6,Explosives,16.0,Unknown Explosive Type
161,1,Assassination,10,Journalists & Media,5,Firearms,3.0,Handgun
162,1,Assassination,3,Police,5,Firearms,3.0,Handgun
163,7,Facility/Infrastructure Attack,3,Police,8,Incendiary,,Unknown
164,2,Armed Assault,3,Police,9,Melee,23.0,Knife or Other Sharp Object
165,2,Armed Assault,10,Journalists & Media,5,Firearms,3.0,Handgun
166,2,Armed Assault,8,Educational Institution,5,Firearms,3.0,Handgun
167,2,Armed Assault,10,Journalists & Media,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
168,7,Facility/Infrastructure Attack,4,Military,8,Incendiary,,Unknown
169,1,Assassination,4,Military,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
170,3,Bombing/Explosion,4,Military,6,Explosives,8.0,Landmine
171,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,13,Unknown,,Unknown
172,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,17.0,Other Explosive Type
173,2,Armed Assault,7,Government (Diplomatic),8,Incendiary,,Unknown
174,1,Assassination,3,Police,5,Firearms,5.0,Unknown Gun Type
175,1,Assassination,17,Terrorists/Non-State Militia,5,Firearms,5.0,Unknown Gun Type
176,2,Armed Assault,14,Private Citizens & Property,8,Incendiary,,Unknown
177,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
178,1,Assassination,22,Violent Political Party,5,Firearms,3.0,Handgun
179,3,Bombing/Explosion,19,Transportation,6,Explosives,16.0,Unknown Explosive Type
180,2,Armed Assault,21,Utilities,5,Firearms,5.0,Unknown Gun Type
181,3,Bombing/Explosion,1,Business,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
182,1,Assassination,4,Military,9,Melee,23.0,Knife or Other Sharp Object
183,7,Facility/Infrastructure Attack,4,Military,2,Chemical,,Unknown
184,9,Unknown,19,Transportation,13,Unknown,,Unknown
185,3,Bombing/Explosion,11,Maritime,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
186,3,Bombing/Explosion,10,Journalists & Media,6,Explosives,17.0,Other Explosive Type
187,3,Bombing/Explosion,8,Educational Institution,6,Explosives,15.0,Vehicle
188,5,Hostage Taking (Barricade Incident),1,Business,5,Firearms,3.0,Handgun
189,9,Unknown,3,Police,13,Unknown,,Unknown
190,2,Armed Assault,21,Utilities,5,Firearms,3.0,Handgun
191,3,Bombing/Explosion,22,Violent Political Party,6,Explosives,16.0,Unknown Explosive Type
192,1,Assassination,7,Government (Diplomatic),6,Explosives,16.0,Unknown Explosive Type
193,4,Hijacking,6,Airports & Aircraft,6,Explosives,28.0,Dynamite/TNT
194,2,Armed Assault,7,Government (Diplomatic),5,Firearms,4.0,Rifle/Shotgun (non-automatic)
195,1,Assassination,11,Maritime,5,Firearms,5.0,Unknown Gun Type
196,2,Armed Assault,8,Educational Institution,5,Firearms,5.0,Unknown Gun Type
197,2,Armed Assault,4,Military,5,Firearms,5.0,Unknown Gun Type
198,1,Assassination,3,Police,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
199,1,Assassination,7,Government (Diplomatic),6,Explosives,9.0,Letter Bomb
200,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,14.0,Time Fuse
201,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,7.0,Grenade
202,7,Facility/Infrastructure Attack,18,Tourists,8,Incendiary,,Unknown
203,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,15.0,Vehicle
204,3,Bombing/Explosion,11,Maritime,6,Explosives,16.0,Unknown Explosive Type
205,2,Armed Assault,14,Private Citizens & Property,8,Incendiary,20.0,Gasoline or Alcohol
206,6,Hostage Taking (Kidnapping),4,Military,5,Firearms,5.0,Unknown Gun Type
207,5,Hostage Taking (Barricade Incident),1,Business,5,Firearms,5.0,Unknown Gun Type
208,2,Armed Assault,4,Military,8,Incendiary,20.0,Gasoline or Alcohol
209,2,Armed Assault,17,Terrorists/Non-State Militia,5,Firearms,5.0,Unknown Gun Type
210,1,Assassination,4,Military,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
211,1,Assassination,1,Business,6,Explosives,16.0,Unknown Explosive Type
212,1,Assassination,14,Private Citizens & Property,9,Melee,23.0,Knife or Other Sharp Object
213,1,Assassination,2,Government (General),6,Explosives,15.0,Vehicle
214,7,Facility/Infrastructure Attack,14,Private Citizens & Property,13,Unknown,,Unknown
215,1,Assassination,22,Violent Political Party,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
216,3,Bombing/Explosion,6,Airports & Aircraft,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
217,1,Assassination,4,Military,6,Explosives,16.0,Unknown Explosive Type
218,4,Hijacking,6,Airports & Aircraft,7,Fake Weapons,,Unknown
219,1,Assassination,14,Private Citizens & Property,9,Melee,22.0,"Hands, Feet, Fists"
220,1,Assassination,1,Business,5,Firearms,5.0,Unknown Gun Type
221,2,Armed Assault,4,Military,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
222,1,Assassination,7,Government (Diplomatic),6,Explosives,17.0,Other Explosive Type
223,1,Assassination,14,Private Citizens & Property,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
224,1,Assassination,14,Private Citizens & Property,6,Explosives,16.0,Unknown Explosive Type
225,1,Assassination,2,Government (General),5,Firearms,5.0,Unknown Gun Type
226,4,Hijacking,6,Airports & Aircraft,5,Firearms,5.0,Unknown Gun Type
227,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,9.0,Letter Bomb
228,1,Assassination,2,Government (General),6,Explosives,9.0,Letter Bomb
229,1,Assassination,12,NGO,6,Explosives,9.0,Letter Bomb
230,1,Assassination,14,Private Citizens & Property,6,Explosives,9.0,Letter Bomb
231,6,Hostage Taking (Kidnapping),17,Terrorists/Non-State Militia,13,Unknown,,Unknown
232,6,Hostage Taking (Kidnapping),10,Journalists & Media,5,Firearms,5.0,Unknown Gun Type
233,1,Assassination,14,Private Citizens & Property,6,Explosives,7.0,Grenade
234,5,Hostage Taking (Barricade Incident),7,Government (Diplomatic),5,Firearms,2.0,Automatic or Semi-Automatic Rifle
235,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,9.0,Letter Bomb
236,1,Assassination,19,Transportation,5,Firearms,5.0,Unknown Gun Type
237,3,Bombing/Explosion,1,Business,6,Explosives,9.0,Letter Bomb
238,9,Unknown,10,Journalists & Media,13,Unknown,,Unknown
239,1,Assassination,3,Police,6,Explosives,15.0,Vehicle
240,3,Bombing/Explosion,4,Military,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
241,1,Assassination,2,Government (General),13,Unknown,,Unknown
242,6,Hostage Taking (Kidnapping),8,Educational Institution,13,Unknown,,Unknown
243,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
244,6,Hostage Taking (Kidnapping),1,Business,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
245,2,Armed Assault,14,Private Citizens & Property,5,Firearms,3.0,Handgun
246,2,Armed Assault,2,Government (General),8,Incendiary,,Unknown
247,3,Bombing/Explosion,13,Other,6,Explosives,16.0,Unknown Explosive Type
248,2,Armed Assault,13,Other,5,Firearms,3.0,Handgun
249,3,Bombing/Explosion,3,Police,6,Explosives,8.0,Landmine
250,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,5,Firearms,5.0,Unknown Gun Type
251,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,7.0,Grenade
252,6,Hostage Taking (Kidnapping),17,Terrorists/Non-State Militia,5,Firearms,5.0,Unknown Gun Type
253,3,Bombing/Explosion,17,Terrorists/Non-State Militia,5,Firearms,5.0,Unknown Gun Type
254,3,Bombing/Explosion,1,Business,8,Incendiary,18.0,Arson/Fire
255,5,Hostage Taking (Barricade Incident),2,Government (General),5,Firearms,3.0,Handgun
256,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,5,Firearms,5.0,Unknown Gun Type
257,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),5,Firearms,5.0,Unknown Gun Type
258,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,15.0,Vehicle
259,2,Armed Assault,21,Utilities,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
260,8,Unarmed Assault,6,Airports & Aircraft,2,Chemical,,Unknown
261,8,Unarmed Assault,7,Government (Diplomatic),2,Chemical,,Unknown
262,1,Assassination,17,Terrorists/Non-State Militia,2,Chemical,1.0,Poisoning
263,2,Armed Assault,13,Other,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
264,1,Assassination,6,Airports & Aircraft,13,Unknown,,Unknown
265,1,Assassination,3,Police,9,Melee,23.0,Knife or Other Sharp Object
266,9,Unknown,6,Airports & Aircraft,13,Unknown,,Unknown
267,1,Assassination,12,NGO,5,Firearms,3.0,Handgun
268,3,Bombing/Explosion,4,Military,6,Explosives,12.0,Remote Trigger
269,3,Bombing/Explosion,14,Private Citizens & Property,5,Firearms,5.0,Unknown Gun Type
270,2,Armed Assault,14,Private Citizens & Property,9,Melee,22.0,"Hands, Feet, Fists"
271,4,Hijacking,14,Private Citizens & Property,8,Incendiary,18.0,Arson/Fire
272,1,Assassination,14,Private Citizens & Property,9,Melee,24.0,Rope or Other Strangling Device
273,1,Assassination,17,Terrorists/Non-State Militia,6,Explosives,16.0,Unknown Explosive Type
274,1,Assassination,15,Religious Figures/Institutions,5,Firearms,3.0,Handgun
275,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
276,1,Assassination,1,Business,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
277,3,Bombing/Explosion,3,Police,8,Incendiary,18.0,Arson/Fire
278,1,Assassination,8,Educational Institution,5,Firearms,3.0,Handgun
279,4,Hijacking,14,Private Citizens & Property,13,Unknown,,Unknown
280,1,Assassination,12,NGO,6,Explosives,16.0,Unknown Explosive Type
281,7,Facility/Infrastructure Attack,21,Utilities,8,Incendiary,,Unknown
282,1,Assassination,3,Police,6,Explosives,16.0,Unknown Explosive Type
283,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,6,Explosives,16.0,Unknown Explosive Type
284,5,Hostage Taking (Barricade Incident),6,Airports & Aircraft,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
285,1,Assassination,4,Military,6,Explosives,9.0,Letter Bomb
286,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,9,Melee,23.0,Knife or Other Sharp Object
287,1,Assassination,17,Terrorists/Non-State Militia,9,Melee,22.0,"Hands, Feet, Fists"
288,1,Assassination,15,Religious Figures/Institutions,6,Explosives,16.0,Unknown Explosive Type
289,6,Hostage Taking (Kidnapping),1,Business,8,Incendiary,,Unknown
290,3,Bombing/Explosion,11,Maritime,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
291,1,Assassination,10,Journalists & Media,6,Explosives,16.0,Unknown Explosive Type
292,3,Bombing/Explosion,10,Journalists & Media,6,Explosives,9.0,Letter Bomb
293,4,Hijacking,6,Airports & Aircraft,8,Incendiary,20.0,Gasoline or Alcohol
294,3,Bombing/Explosion,15,Religious Figures/Institutions,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
295,2,Armed Assault,2,Government (General),5,Firearms,3.0,Handgun
296,3,Bombing/Explosion,1,Business,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
297,3,Bombing/Explosion,1,Business,13,Unknown,,Unknown
298,2,Armed Assault,12,NGO,5,Firearms,3.0,Handgun
299,3,Bombing/Explosion,2,Government (General),6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
300,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
301,1,Assassination,2,Government (General),5,Firearms,4.0,Rifle/Shotgun (non-automatic)
302,8,Unarmed Assault,19,Transportation,3,Radiological,,Unknown
303,6,Hostage Taking (Kidnapping),15,Religious Figures/Institutions,13,Unknown,,Unknown
304,3,Bombing/Explosion,4,Military,5,Firearms,5.0,Unknown Gun Type
305,8,Unarmed Assault,14,Private Citizens & Property,9,Melee,21.0,Blunt Object
306,3,Bombing/Explosion,8,Educational Institution,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
307,7,Facility/Infrastructure Attack,12,NGO,8,Incendiary,18.0,Arson/Fire
308,1,Assassination,17,Terrorists/Non-State Militia,5,Firearms,3.0,Handgun
309,8,Unarmed Assault,2,Government (General),7,Fake Weapons,,Unknown
310,4,Hijacking,6,Airports & Aircraft,9,Melee,23.0,Knife or Other Sharp Object
311,8,Unarmed Assault,14,Private Citizens & Property,9,Melee,22.0,"Hands, Feet, Fists"
312,3,Bombing/Explosion,10,Journalists & Media,6,Explosives,15.0,Vehicle
313,1,Assassination,1,Business,5,Firearms,3.0,Handgun
314,1,Assassination,2,Government (General),5,Firearms,3.0,Handgun
315,5,Hostage Taking (Barricade Incident),7,Government (Diplomatic),5,Firearms,3.0,Handgun
316,3,Bombing/Explosion,7,Government (Diplomatic),5,Firearms,2.0,Automatic or Semi-Automatic Rifle
317,3,Bombing/Explosion,1,Business,6,Explosives,7.0,Grenade
318,2,Armed Assault,14,Private Citizens & Property,9,Melee,23.0,Knife or Other Sharp Object
319,2,Armed Assault,3,Police,8,Incendiary,,Unknown
320,9,Unknown,14,Private Citizens & Property,13,Unknown,,Unknown
321,3,Bombing/Explosion,17,Terrorists/Non-State Militia,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
322,6,Hostage Taking (Kidnapping),2,Government (General),5,Firearms,2.0,Automatic or Semi-Automatic Rifle
